food,Sodium,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc
cream cheese,0.016,0.008,14.1,0.082,0.027,1.3,0.091,15.5,19.1,0.039
neufchatel cheese,0.3,99.5,0.034,0.1,8.5,0.088,117.3,129.2,0.054,0.7
requeijao cremoso light catupiry,0,0,0,0,0,0,0,0,0,0
ricotta cheese,0.017,0.097,41.2,0.097,0.096,4,0.024,30.8,43.8,0.035
cream cheese low fat,0.046,22.2,0.072,0.008,1.2,0.098,22.8,37.1,0.034,0.053
cream cheese fat free,0.1,63.2,0.039,0.053,4,0.028,94.1,50,0.013,0.3
gruyere cheese,0.2,283.1,0.033,0.094,10.1,0.002,169.4,22.7,0.079,1.1
cheddar cheese,0.2,198.8,0.099,0.077,7.6,0.063,127.4,21.3,0.009,1
parmesan cheese,0.2,213.1,0.051,0.1,7.9,0.073,124.9,16.6,0.045,0.5
romano cheese,0.008,53.2,0.046,0.03,2.1,0.002,38,4.3,0.087,0.1
parmesan cheese grated,0.043,0.012,42.7,0.094,0.094,1.7,0.026,31.4,9,0.038
port salut cheese,0.7,858,0.062,0.6,31.7,0.095,475.2,179.5,0.015,3.4
swiss cheese,0.057,222.5,0.026,0.024,8.3,0.062,143.5,18,0.031,1.1
goat cheese hard,0.076,253.3,0.2,0.5,15.3,0.088,206.3,13.6,0.082,0.4
gouda cheese,0.2,196,0.013,0.06,8.1,0.08,152.9,33.9,0.05,1.1
pepper jack cheese lucerne,0,0,0,0,0,0,0,0,0,0
caraway cheese,0.2,190.5,0.007,0.2,6.2,0.002,138.7,26.3,0.009,0.8
gjetost cheese,1.4,908,0.2,1.2,158.9,0.035,1007.9,3198.4,0.039,2.6
tilsit cheese,0.3,280,0.033,0.01,5.2,0.086,200,26,0.026,1.4
goat cheese,0.1,84.3,0.2,0.5,8.2,0.008,106.1,44.7,0.005,0.2
brick cheese,0.2,202.2,0.093,0.1,7.2,0.085,135.3,40.8,0.056,0.8
asadero cheese,0.7,746.9,0.067,0.6,29.4,0.024,500.6,97.2,0.096,3.4
camembert cheese,0.3,116.4,0.046,0.063,6,0.075,104.1,56.1,0.035,0.7
provolone cheese reduced fat,1,854.3,0.077,0.6,31.6,0.096,560.5,155.9,0.054,3.6
roquefort cheese,1.5,562.7,0.005,0.5,25.5,0.036,333.2,77.4,0.081,1.8
queso blanco cheese,0.8,814.2,0.098,0.2,34.2,0.067,551.1,148.7,0.016,3.6
queso seco cheese,1.8,641.2,0.091,0.2,26.2,0.083,460.8,112.5,0.048,3.2
goat cheese soft,0.1,39.6,0.2,0.5,4.5,0.026,72.4,7.4,0.014,0.3
mozzarella cheese,0.1,151.5,0.057,0.1,6,0.019,106.2,22.8,0.047,0.9
chihuahua cheese,0.8,859.3,0.03,0.6,30.4,0.047,583.4,68.6,0.071,4.6
limburger cheese,0.2,149.1,0.036,0.011,6.3,0.054,117.9,38.4,0.029,0.6
muenster cheese,0.8,946.4,0.008,0.5,35.6,0.093,617.8,176.9,0.059,3.7
queso fresco cheese,0.9,690.5,0.025,0.2,29.3,0.053,469.7,157.4,0.073,3.1
brie cheese,0.2,55.2,0.015,0.2,6,0.047,56.4,45.6,0.04,0.7
pimento cheese,2,859.6,0.032,0.6,30.8,0.031,1041.6,226.8,0.089,4.2
mexican cheese,0.9,1283.5,0.034,0.1,39.2,0,653,104.2,0.006,4.8
feta cheese,0.3,147.9,0.012,0.2,5.7,0.063,101.1,18.6,0.005,0.9
mozzarella cheese fat free,0.8,1085.9,0.077,0.4,37.3,0,741.3,119.8,0.035,4.4
provolone cheese,1.2,997.9,0.011,0.7,37,0.033,654.7,182.2,0.017,4.3
anejo cheese,1.5,897.6,0.058,0.6,37,0.067,586.1,114.8,0.095,3.9
honey,0.011,1.3,0.061,0.017,0.4,0.098,0.8,10.9,0.021,0.008
apple butter,0.003,2.8,0.085,0.025,0.8,0.093,1.6,18.2,0.078,0.095
fruit jam,0.052,4,0.022,0.07,0.8,0.002,3.8,15.4,0.054,0.03
chocolate hazelnut spread,0.099,20,0.061,0.8,11.8,0.2,28.1,75.3,0.021,0.2
peanut butter,0.085,0,8.1,0.079,0.3,26.9,0.2,50.3,88.8,0.044
peanut spread,0.028,11.2,0.1,0.4,25.4,0.3,54.3,126.8,0.078,0.5
chicken spread,0.4,9,0.049,0.5,6.7,0.083,49.8,59.4,0.029,0.6
cheese spread,1.2,170.4,0.02,2.7,14.4,0,218.4,268.8,0.065,1.2
tahini,0.098,63,0.2,0.4,14.4,0.2,112.8,62.1,0,0.7
orange marmalade,0.016,7.6,0.076,0.053,0.4,0.055,0.8,7.4,0.057,0.046
american cheese spread,0.3,89.9,0.061,0.079,4.6,0.062,140,38.7,0.052,0.4
apricot jam,0.004,4,0.07,0.066,0.8,0.099,0.6,15.4,0.009,0.062
chunky peanut butter,0.03,7.2,0.002,0.3,25.6,0.3,51,119.2,0.045,0.4
ham and cheese spread,0.2,32.6,0.087,0.1,2.7,0.063,74.3,24.3,0.065,0.3
chicken and rice casserole homade,0,0,0,0,0,0,0,0,0,0
picnic loaf,0.3,13.2,0.078,0.3,4.2,0.094,35,74.8,0.025,0.6
corn tamale,0.5,39.8,0.02,0.9,48.1,0.4,154.4,308.8,0.075,1
baked potato with cheese sauce bacon,1,308,0.6,3.1,68.8,0.5,346.8,1178.1,0.01,2.2
chinese egg roll,0.4,35.6,0.1,1.3,16,0.2,75.7,146.9,0,0.6
butter croissant,0.2,21.1,0.07,1.2,9.1,0.2,59.9,67.3,0.054,0.4
enchilada with cheese beef,1.3,228.5,0.5,3.1,82.6,0.6,167,574.1,0.092,2.7
corned beef hash with potatoes,1,44.8,0,2.4,30.7,0.2,132.2,405.9,0.034,3.3
biscuit with egg cheese bacon,1.2,149.4,0.4,2.3,21.8,0.2,526.4,190,0.087,1.6
bagel with ham egg cheese,1.3,185.3,0.4,4.1,40.1,0.4,397.3,261.7,0.098,2.4
quesadilla with chicken,1.3,484.2,0.1,3.2,45,0.5,563.4,329.4,0.025,2.6
corn rice,0.2,2.9,0.013,9.9,5.5,0.2,22.3,30.5,0.043,2.2
kung pao chicken,2.4,120.8,0.4,4.6,145,1.5,567.8,1316.7,0.097,4.5
beef empanada,0.4,17.8,0.051,2.4,18.7,0.2,91.7,169.1,0.037,1.7
frijoles with cheese,0.9,188.7,0.3,2.2,85.2,0.5,175.4,604.5,0.013,1.7
burrito with beef,0.5,0.042,67.1,0.2,3.2,40,0.5,150.9,270.9,0.002
crispy chicken sandwich,0.7,46.6,0.09,1.9,25.2,0.3,229.3,233.1,0,0.7
enchilada with cheese,0.7,0,430.2,0.2,0.9,39.7,0.2,367.2,191.8,0.03
pork egg roll,0.3,28.9,0.024,1.3,17,0.3,77.4,180.2,0.071,0.8
corn on the cob with butter,0.056,4.4,0,0.9,40.9,0,108,359.2,0.034,0.9
pancakes with butter syrup,0.6,63.8,0.073,1.3,24.4,0.2,237.8,125.3,0.075,0.5
burrito with beans,0.5,56.4,0.2,2.3,43.4,0.4,48.8,326.6,0.024,0.8
scrambled eggs,0.1,26.8,0.093,1.2,6.6,0.066,113.7,69.1,0.012,0.8
baked potato with sour cream,0.2,105.7,0.7,3.1,69.5,0.6,184.2,1383.2,0.088,0.9
turkey and gravy,1.3,33.6,0.035,2.2,19.2,0.045,194.4,146.4,0.003,1.7
chicken egg roll,0.4,37.6,0.056,1.4,24,0.3,94.4,224.8,0.032,0.4
vegetable egg roll,0.4,35.9,0.082,1.5,20.3,0.4,64.7,195,0.005,0.4
ham cheese roll,0.3,16.2,0.078,0.3,4.5,0,70.8,82.3,0.018,0.6
biscuit with ham,1.1,160.5,0.054,2.7,22.6,0.4,553.7,196.6,0.011,1.6
lemon chicken,1.5,248.4,0.2,8.4,95.6,0.6,821.7,987.4,0.001,3.2
hummus,0.6,120.5,0.6,3.8,71.3,1.4,270.6,425.6,0.038,2.7
croissant with egg cheese,0.6,243.8,0.077,2.2,21.6,0.2,348,174,0.065,1.8
enchirito with cheese beef beans,1.3,218.1,0.3,2.4,71.4,0.4,223.9,559.7,0.016,2.8
sweet sour pork,0.003,6.4,0.024,0.4,1.8,0.054,18.6,21.3,0.053,0.1
crab cake,0.5,202.2,0.4,1.1,25.2,0.3,226.8,162,0.029,2.1
egg dinner roll,0.2,20.7,0.04,1.2,8.8,0.2,35.4,36.4,0.066,0.4
english muffin with egg cheese sausage,0.8,277.2,0.3,4.3,28.1,0.3,297,242.6,0.064,1.7
buttermilk pancakes,0.2,59.7,0.067,0.6,5.7,0.023,52.8,55.1,0.073,0.2
omelet,0.013,0.05,29.3,0.07,0.9,6.7,0.031,101.9,71.4,0.03
taco with chicken cheese lettuce,0.6,119.6,0.012,1.6,23.5,0.2,239.1,212.7,0.093,0.7
spinach souffle,0.8,224.4,0.093,1.6,40.8,0.4,189,314.2,0.01,1.2
english muffin with cheese sausage,0.7,226.8,0.3,3.4,22.7,0.3,181.4,193.3,0.036,1.3
potato gratin,1.1,291.6,0.4,1.6,49,0.4,276.9,970.2,0.036,1.7
biscuit with egg,1.2,149.4,0.077,2.3,21.8,0.3,526.4,190,0.007,1.6
french fries deep fried,0.1,0.075,12.8,0.038,0.6,24.9,0.2,88.8,411.1,0.019
sweet sour chicken,0.043,8.2,0.098,0.4,2.7,0.1,24.7,28.9,0.04,0.057
burrito with beans beef,1.4,216.9,0.3,4.6,60.3,0.6,392.8,648.3,0.031,4.8
nachos with cinnamon sugar,0.4,85,0.2,2.9,19.6,0.5,32.7,78.5,0.044,0.6
arroz con grandules,0.7,9.2,0.1,0.3,16.1,0.7,62.1,96.6,0,0.9
chili con carne,1.1,0.063,83.5,0.6,3.4,70.8,0.4,220.1,667.9,0.039
arroz con abichuelas,0.6,23.6,0.2,1.9,33,0.7,117.8,304.6,0.071,1.1
biscuit with sausage,0.9,52.2,0.3,2.1,14.4,0.2,378.5,169.8,0.012,0.8
vegetarian stew,1,76.6,1.6,3.2,313.7,0,543.4,296.4,0.05,2.7
chicken sandwich with cheese,1.2,257.6,0.2,3.6,43.3,0.4,405.8,332.9,0.073,2.9
biscuit with egg steak,0.9,137.6,0.1,5.3,25.2,0.2,225,306.4,0.039,2.8
taco salad,0.6,145.5,0.2,1.7,39,0.3,108,315,0.001,2
succotash,0.5,32.6,0.3,2.9,101.8,1.5,224.6,787.2,0.038,1.2
nachos with cheese jalapeno peppers,1.7,620.2,0.2,2.4,108.1,0.4,393.7,293.8,0.083,2.9
biscuit with egg ham,1.4,220.8,0.1,4.6,30.7,0.3,316.8,318.7,0.005,2.2
ladyfingers,0.016,13.3,0.063,1,3.4,0.063,49,32,0.037,0.3
mozzarella steak fried,0.2,107.9,0.02,0.2,6.8,0.052,99.8,35.7,0.094,0.6
tamale navajo,0.8,53.9,0.1,2.3,40.9,0.3,184.1,243.7,0.053,2.8
blueberry pancakes,0.2,78.3,0.031,0.7,6.1,0.089,57.4,52.4,0.01,0.2
chimichanga with beef cheese,1,237.9,0.4,3.8,60.4,0.5,186.7,203.1,0.085,3.4
egg cheese sandwich,0.8,224.8,0.1,3,21.9,0.2,302.2,188.3,0.067,1.6
biscuit with egg bacon,1.3,189,0.1,3.7,24,0.3,238.5,250.5,0.059,1.6
pupusas con queso,0.5,380.3,0.081,0.7,42.1,0.1,317.1,140.4,0.07,2.2
apple croissant,0.2,17.1,0.006,0.6,7.4,0.1,33.1,51.3,0.024,0.6
refried red beans,0.9,76.9,0.5,4.5,83.9,0.7,212,722.3,0.058,1.6
tostada with guacamole,0.4,211.4,0.1,0.8,36.5,0.2,116.1,324.9,0.096,2
chicken sandwich,1.4,0.012,108.5,0.2,3.3,44.9,0.5,346,458.2,0.064
fried rice,0.6,19.6,0.1,1,14,0.6,77,123.2,0.062,1.1
pupusas del cerdo,0.5,59.8,0.06,1.2,46.4,0.2,197.6,311.1,0.091,2
turkey pot pie,1.4,0,0,4,0,0,0,0,0,0
cheese croissant,0.3,42.4,0.018,1.7,19.2,0.3,104,105.6,0.027,0.8
chimichanga with beef,0.9,62.6,0.4,4.5,62.6,0.6,123.5,586.4,0.029,5
french toast with butter,0.3,36.5,0.072,0.9,8.1,0.1,72.9,88.4,0.065,0.3
ham egg cheese sandwich,1,211.6,0.1,3.1,25.7,0.2,346.1,210.2,0.067,2
english muffin with butter,0.4,102.7,0.098,1.6,13.2,0.2,85.1,69.3,0.092,0.4
savoury noodle one pan dinner tandaco,0,0,0,0,0,0,0,0,0,0
ham cheese sandwich,0.8,129.9,0.2,3.2,16.1,0.1,151.8,290.5,0.078,1.4
sweet gefilte fish,0.2,9.7,0.01,1,3.8,0.051,30.7,38.2,0.038,0.3
poached egg,0.1,28,0.071,0.9,6,0.044,98.5,69,0.014,0.6
tostada with beef cheese,0.9,216.8,0.3,2.9,63.6,0.5,179.3,572.1,0.093,3.7
tostada with beans cheese,0.5,210.2,0.2,1.9,59,0.4,116.6,403.2,0.072,1.9
pork tamale,0.7,106.5,0.043,1.2,36.9,0.3,170.4,215.8,0.048,1.7
nachos with cheese,0.3,0.05,50.4,0.029,0.6,33.6,0.2,158.4,289.6,0.068
pulled pork in barbecue sauce,1.7,109.6,0.2,3.1,54.8,0.2,400.9,759.5,0.049,4.6
baked potato with cheese sauce,0.4,310.8,0.6,3,65.1,0.5,319.7,1166.2,0.042,1.9
baked beans,0.8,0,122,0.3,4,86,0.5,218,716,0.052
arroz con frijoles,0.6,54,0.2,2.3,38,0.6,127,327,0.069,1.1
taco with beef cheese lettuce,0.3,61.4,0.005,0.8,22.1,0.2,122.8,144.2,0.083,1.2
burrito with beans cheese beef,0.5,65,0.2,1.9,25.4,0.2,70,205,0.051,1.2
egg mix,0.012,0.078,12.2,0.055,0.4,1.7,0.015,31.5,27,0.043
falafel,0.081,0,9.2,0.002,0.6,13.9,0.1,32.6,99.5,0.018
taco salad with chili con carne,0.6,163.6,0.2,1.8,34.8,0.2,102.7,261,0,2.2
wonton wrappers,0.2,15,0.039,1.1,6.4,0.2,25.9,26.2,0.02,0.2
hushpuppies,1,422.6,0.1,4.6,36.5,0.3,287.3,218.9,0.078,1
chicken pot pie,1.2,63.4,0.1,1.8,33.2,0.6,226.5,317.1,0.003,1.3
general tsos chicken,2.3,64.2,0.2,6.2,96.3,0.4,679.5,1075.4,0.065,7
burrito with beans cheese,1,229.4,0.3,4.4,62.9,0.8,301.6,482.9,0.04,1.6
vegetarian fillets,0.4,80.8,0.8,1.7,19.6,0,382.5,510,0.043,1.2
biscuit with egg sausage,1.1,82.6,0.4,3.1,21.1,0.2,505.4,241.4,0.002,1.5
chicken chow mein,1.9,126.8,0.2,4,66.4,0.6,326.2,749,0.086,1.9
fruit burrito,0.2,15.5,0.051,1.1,7.4,0.1,14.8,104.3,0.024,0.4
arroz con leche,0.3,227.7,0.03,0.6,27.8,0.3,210,359.3,0.006,1.3
caramel custard flan,0.2,254,0.053,1.2,27.5,0.021,293.8,361.1,0.05,1.4
gelatin dessert,0.2,8.1,0.087,0.094,2.7,0.021,59.4,2.7,0.079,0.014
chocolate milk dessert,0.1,211,0.1,0.02,61.7,0,168.5,456.2,0.053,0.6
chocolate mousse,0.081,144,0.1,0.8,30,0.023,175.5,214.5,0.047,1
dulce de leche,0.036,47.7,0.059,0.001,4.2,0.076,36.7,66.5,0.058,0.2
apple crisp,1,98.7,0.2,2.3,22.6,0.4,79,220,0.055,0.5
spinach spaghetti cooked,0.061,42,0.3,1.5,86.8,2.1,151.2,81.2,0.045,1.5
corn pasta cooked,0,1.4,0.002,0.4,50.4,0.2,106.4,43.4,0.081,0.9
spaghetti with meat sauce,0.7,50.9,0.4,3.5,42.5,0.6,138.7,407.5,0.061,1.4
pasta with meatballs in tomato sauce,0.7,30.6,0.2,3.3,35.7,0.6,117.3,359.6,0.023,1.5
cheese tortellini,0.4,164.2,0.053,1.6,22.7,0,229,96.1,0.064,1.1
pasta with sliced franks in tomato sauce,0.7,151.2,0.3,2.3,35.3,0.3,108.4,481.3,0.02,1.3
lasagna,0.5,0.08,108.2,0.1,0.9,24.6,0.2,141.5,241.1,0.001
macaroni cheese,0.9,0,160.7,0.1,2.2,28.4,0.4,442.3,151.2,0
vegetable lasagna,1,340.5,0.2,1.2,47.7,0.4,317.8,385.9,0.087,2
spinach egg noodles cooked,0.068,30.4,0.1,1.7,38.4,0.5,91.2,59.2,0.028,1
cheese lasagna,0.7,269.7,0.3,3.1,51,0.5,260,442.3,0.059,2.2
pasta with tomato sauce,1,0.083,32.8,0.1,2.3,35.3,0.4,98.3,483.8,0.065
spinach pasta cooked,0.004,5.1,0.093,0.3,6.8,0.044,16.1,10.5,0,0.2
vegetable chicken soup,0.075,26.5,0.2,1.5,9.6,0,106,368.7,0.038,2.2
bean ham soup,0.5,93.1,0.2,2.5,46.6,0.6,31.9,387.1,0.021,1.3
cream of chicken soup,1.8,35.3,0.3,2.7,10.1,0.2,78.1,123.5,0.084,0.7
tomato soup canned,0.5,173.9,0.2,1.4,30.2,0.2,156.2,461.2,0.067,0.9
egg drop soup,0.9,16.9,0.081,0.6,4.8,0.023,36.2,53,0.028,0.2
scotch broth,2.1,35.8,0.6,2,8.9,0.9,134.1,387.4,0.026,3.9
cream of onion soup,1.9,82.4,0.3,1.5,15.3,0.6,91.5,298.9,0.095,0.4
chicken broth dry,1.2,9.1,0,0.059,2.7,0.049,9.2,18,0.075,0.079
vegetable soup with beef broth,1.3,34.4,0.3,1.9,12.3,0.7,78.7,386.2,0.041,1.6
chili with beans canned,1.3,120.3,0.3,8.8,115.2,0.3,394.2,934.4,0.018,5.1
beef noodle soup,1.6,30,0.3,2.2,12.5,0.5,92.5,197.5,0.063,3.1
consomme dry,0.8,12.5,0.021,0.2,7.5,0.08,14.9,57.3,0.058,0.082
chicken mushroom soup,0.8,29,0.048,0.9,8.8,0.1,27.7,158.8,0.046,1
beef vegetable soup,0.8,45,0.049,1.3,25,0.2,120,435,0.002,1.4
black bean soup,2.5,90,0.8,3.9,84.8,1.3,192.8,642.5,0,2.8
split pea soup with ham bacon,1,0,0,2.1,0,0,0,0,0,0
cream of mushroom soup,1.7,30.2,0.016,0.5,7.6,0.028,60.5,161.3,0.093,0.3
green pea soup,1.7,53.8,0.7,3.8,76.8,1.3,243.2,371.2,0.099,3.3
chicken broth soup,1.6,15.1,0.3,1,5,0.5,151.2,428.4,0.024,0.5
chicken mushroom chowder soup,1.8,0,0,2.6,0,0,0,0,0,0
chicken dumplings soup,1.8,35.8,0.3,1.5,8.9,1.2,149,283.1,0.048,0.9
chicken vegetable soup,1.7,33.9,0.2,1.7,12.1,0.7,79.9,304.9,0.001,0.7
turkey vegetable soup,0.9,16.9,0.2,0.8,4.8,0.5,41,175.9,0.017,0.6
wonton soup,0.9,11.2,0.041,0.5,6.7,0.042,40.1,71.4,0.074,0.3
beef stock,0.5,19.2,0.1,0.6,16.8,0,74.4,444,0.019,0.4
mushroom barley soup,1.7,30.5,0.5,1.2,21.4,0.3,152.5,231.8,0,1.2
gazpacho soup,1.1,36.9,0.2,1.5,11.1,1.1,55.4,339.5,0.019,0.4
beef mushroom soup,2.2,12.2,0.6,2.1,21.4,0.9,88.5,384.3,0,3.4
chicken rice soup,0.9,33.6,0.2,1.9,9.6,0.2,72,108,0.077,1
pepperpot soup,0.9,26.7,0.1,0.9,4.9,0.6,41.3,148.2,0,1.2
vegetable soup,1.3,42.8,0.3,2.2,15.1,0.9,70.6,430.9,0.088,1
chili beef soup,2.1,0.072,86.8,0.8,4.3,50,2.1,297.2,1052,0.001
chicken soup,0.9,24.5,0.2,1.7,7.4,0.2,110.3,171.5,0.099,1
bean with frankfurters soup,1.1,87.5,0.4,2.4,47.5,0.8,165,477.5,0.073,1.2
pea soup,0.015,31.1,0.4,1.9,38.9,0,121.7,183.9,0.041,1.7
turkey soup,0.9,49.6,0.2,1.9,23.6,0.2,103.8,361.1,0,2.1
stockpot soup,2.1,43.9,0.3,1.8,7.7,0.5,108.4,477.3,0,2.3
hot sour soup,0.9,44.3,0.032,1.5,21,0.2,74.6,128.2,0.084,0.5
cheese soup,1.7,89.3,0.2,0.4,29.8,0.5,81.8,91.8,0.036,0.4
cream of potato soup,1.5,42.8,0.5,0.9,32.8,0.8,103.3,415.8,0.05,0.4
bean with bacon soup,0.9,55.7,0.3,1.3,29.2,0.5,90.1,326,0.015,0.7
fish stock,0.4,7,0.1,0.019,16.3,0.1,130.5,335.5,0.068,0.1
split pea soup with ham,1.7,43.2,0.7,4.6,97.2,1.4,429.3,801.9,0.081,2.7
beef broth soup,0.9,14.4,0,0.4,4.8,0.035,31.2,129.6,0.023,0
lentil soup with ham,1.3,42.2,0.2,2.7,22.3,0.3,183.5,357.1,0.011,0.7
tomato soup,0.6,19.2,0.012,0.9,20.7,0.2,45.9,831.8,0.081,0.3
fish broth,0.5,73.2,0.1,0.5,2.4,0,73.2,209.8,0.071,0.2
chili without beans canned,0.9,72,0.5,4.8,48,0.7,184.8,444,0.043,2.7
minestrone soup,1.3,68.9,0.2,1.8,14.8,0.7,113.2,627.3,0.029,1.5
clam chowder soup,1.8,47.9,0.3,3.3,20.2,0.8,83.2,378,0.057,1.9
tomato vegetable soup,0.3,19.6,0.1,0.6,9.8,0.1,34.3,164.2,0.06,0.2
cream of rice coup,0.4,7.3,0.004,0.5,7.3,0.4,41.5,48.8,0.008,0.4
cream of celery soup,1.3,80.6,0.3,1.3,12.6,0.5,75.6,247,0.051,0.3
chicken gravy,1,47.6,0.2,1.1,4.8,0.5,69,259.4,0.02,1.9
tomato rice soup,1.6,46.4,0.3,1.6,10.3,0.8,67.1,663.1,0.098,1
vegetable beef soup,1.1,0,0,0,0,0,0,0,0,0
tomato beef noodle soup,1.8,35.1,0.3,2.2,15.1,0.5,113,441.8,0.037,1.5
oyster stew soup,1.8,44.3,3.2,2,9.8,0.7,95.9,98.4,0.035,20.7
ramen noodle soup dry,1.7,24.7,0.1,3.4,19.6,0.4,101.2,152.2,0.021,0.7
chicken noodle soup,2.1,0,18.2,0.4,2,24.2,0.3,115.1,145.4,0.095
chicken bouillon dry,1,7.5,0,0.061,2.2,0.048,6.6,12.4,0.079,0.083
cream of asparagus soup,1.7,58,0.3,1.6,7.6,0.8,78.1,347.8,0.009,1.8
turkey noodle soup,1.6,22.7,0.3,1.9,10.1,0.5,95.8,151.2,0.028,1.2
cream of shrimp soup,1.7,35.3,0.3,1.1,17.6,0.8,65.5,118.4,0.024,1.5
bean with pork soup,1.7,156,0.4,4,85.8,0.6,254.8,975,0.052,2
chicken broth,0.9,14.1,0.077,0.5,2.4,0.1,30.6,188,0,0.2
beef broth powder,0.9,2.2,0,0.03,1.8,0.033,11.5,16.1,0.032,0
split pea soup,0.4,43,0.3,1.9,35.4,0.5,136.6,463,0.088,1
escarole soup,2.3,71.9,0.8,1.7,11.1,2.8,177,591.7,0,5
chicken stock,0.3,7.2,0.1,0.5,9.6,0,64.8,252,0.091,0.3
tomato bisque soup,1.8,80,0.3,1.7,18.1,0.5,121.3,838.5,0,1.2
shark fin soup,1.1,21.6,0.2,2,15.1,0.002,45.4,114.5,0,1.8
onion soup,1.3,54.1,0.2,1.4,4.9,0.5,22.1,137.8,0.073,1.2
chicken gumbo soup,1.7,47.9,0.3,1.8,7.6,0.5,50.4,151.2,0.084,0.8
crab soup,0.6,83,0.5,1.9,41.5,0.5,153.7,434.3,0.049,1.9
tripe soup,0.8,44,0.049,1.4,20,0.1,84,162,0.039,2.1
little india little lunch,0,0,0,0,0,0,0,0,0,0
original chicken sandwich chick fil a,0,0,0,0,0,0,0,0,0,0
sausage mcmuffin mcdonalds,0.8,257.6,0.1,2.3,24.2,0.3,187.5,216.2,0,1.5
sausage mcgriddles mcdonalds,1,85.1,0.1,1.9,18.9,0.3,426.6,195.8,0,1
crispy chicken drumstick kentucky fried chicken,0.2,6.6,0.098,0.4,9.4,0.091,91.8,111.9,0.015,1
chicken crispy drumsticks kentucky fried chicken,0.4,14.3,0.2,0.5,12,0.06,112.9,135.1,0.064,1
biscuit kentucky fried chicken,0.5,31.2,0.009,1.5,7.8,0.2,304.7,59.8,0.076,0.3
english muffin mcdonalds,0.031,0.08,1.8,13.1,0.3,68.4,73,0,0.5,0
french fries mcdonalds,0.2,0.003,22.2,0.1,0.9,43.3,0.3,148.6,697.3,0.07
hotdog,1.1,37.2,0.1,3.7,20.2,0.1,153.5,226.3,0.09,3.1
french fries burger king,0.2,0.083,12.6,0.005,0.5,20,0.2,88.1,345.6,0
original taco with beef cheese lettuce taco bell,0.3,61.4,0.094,0.8,22.1,0.2,122.8,144.2,0.021,1.2
hotdog with chili,0.5,19.4,0.1,3.3,10.3,0.1,191.5,166.4,0.038,0.8
chicken crispy wings kentucky fried chicken,0.3,15.4,0.2,0.3,9.7,0.015,84.5,98.1,0.003,0.5
egg white delight mcdonalds,0,0,0,0,0,0,0,0,0,0
french toast sticks burger king,0.014,11.1,0.036,0.4,4,0.068,18.3,23.3,0.049,0.1
mcchicken mcdonalds,0.8,0,115.3,0.1,2.3,26.2,0.5,182.1,226.6,0
nachos supreme taco bell,0.8,142.4,0.2,4.2,89.7,0.5,384.2,471.9,0.055,2.7
crispy chicken wing kentucky fried chicken,0.3,13.2,0.006,0.4,11,0.085,99.4,116.6,0.033,0.8
chicken strips burger king,0.3,0.046,4.7,0.005,0.2,9.7,0.036,104.8,113.4,0.07
crispy chicken breast kentucky fried chicken,0.7,28,0.008,0.7,39.2,0.092,354.2,432.6,0.042,1.2
sausage biscuit mcdonalds,1,64.4,0.031,2.4,15.2,0.2,377.9,207.1,0,1
sausage burrito mcdonalds,0.8,203.4,0.005,1.8,19.2,0.2,247.5,154.8,0,1.3
onion rings fried,0.015,7.5,0.075,0.038,1.2,0.021,10.3,10.9,0.011,0.007
onion rings burger king,0.7,104.7,0.012,0.7,17.3,0.3,143.8,152,0.023,0.5
turkey patty fried,0.2,3.9,0.027,0.6,4.2,0.049,75.6,77,0.054,0.4
hotcakes with syrup mcdonalds,0.6,126,0.1,2.8,28.7,0.4,391.2,276.3,0,0.6
crispy chicken thigh kentucky fried chicken,0.5,19.1,0.037,0.9,20,0.095,202.9,246.6,0.04,1.7
corn dog,0.5,0.086,56.2,0.1,1.5,13.3,0.029,174.7,97.5,0.012
chicken box mcdonalds,0,0,0,0,0,0,0,0,0,0
potato wedges kentucky fried chicken,1,34.8,0.2,1.4,40.2,0.4,142,699.5,0,0.6
scrambled eggs mcdonalds,0.04,33.7,0.096,1.1,6.1,0.049,133.1,70.9,0,0.7
egg mcmuffin mcdonalds,0.8,0,241.9,0.1,2.9,25.2,0.3,252,218,0
nachos taco bell,0.5,88.1,0.1,1.1,51.5,0.3,280.2,180.2,0.048,1.1
biscuit large mcdonalds,0.9,68.4,0.091,2.5,9.9,0.2,397.8,108,0,0.4
crispy chicken strips kentucky fried chicken,0.4,11.8,0.014,0.3,15.5,0.1,140.1,156.5,0.067,0.3
hotcakes mcdonalds,0.2,41.7,0.054,0.9,9.4,0.1,129,85.8,0,0.2
chicken crispy breast kentucky fried chicken,0.8,37.8,0.6,0.8,33.6,0.2,301,361.2,0.09,1.1
hotcakes sausage mcdonalds,0.9,134.6,0.2,3.2,37,0.4,451.4,390.7,0,1.3
chicken mcnuggets mcdonalds,0.009,0,1.8,0.017,0.1,3.8,0.073,43.5,40.3,0
chips chipotle,0,0,0,0,0,0,0,0,0,0
biscuit mcdonalds,0.7,57.8,0.049,2.1,8.4,0.2,335.9,91.2,0,0.3
rice bowl with chicken,0.064,3.7,0.057,0.008,4,0.075,26.6,34.8,0.035,0.1
spaghetti with meatballs,0.6,0.036,58,0.1,2.1,26,0.3,114,434,0.057
meat ravioli canned,0.9,34.1,0.1,2.8,34.1,0.4,112.7,442.8,0.019,1.2
